areaType,areaName,areaCode,date,cumCasesByPublishDate,cumCasesByPublishDateRate
overview,United Kingdom,K02000001,2020-08-19,321098,480.7
overview,United Kingdom,K02000001,2020-08-18,320286,479.5
overview,United Kingdom,K02000001,2020-08-17,319197,477.9
overview,United Kingdom,K02000001,2020-08-16,318484,476.8
overview,United Kingdom,K02000001,2020-08-15,317444,475.2
overview,United Kingdom,K02000001,2020-08-14,316367,473.6
overview,United Kingdom,K02000001,2020-08-13,314927,471.5
overview,United Kingdom,K02000001,2020-08-12,313798,469.8
overview,United Kingdom,K02000001,2020-08-11,312789,468.3
overview,United Kingdom,K02000001,2020-08-10,311641,466.6
overview,United Kingdom,K02000001,2020-08-09,310825,465.3
overview,United Kingdom,K02000001,2020-08-08,309763,463.7
overview,United Kingdom,K02000001,2020-08-07,309005,462.6
overview,United Kingdom,K02000001,2020-08-06,308134,461.3
overview,United Kingdom,K02000001,2020-08-05,307184,459.9
overview,United Kingdom,K02000001,2020-08-04,306293,458.5
overview,United Kingdom,K02000001,2020-08-03,305623,457.5
overview,United Kingdom,K02000001,2020-08-02,304685,456.1
overview,United Kingdom,K02000001,2020-08-01,303942,455
overview,United Kingdom,K02000001,2020-07-31,303181,453.9
overview,United Kingdom,K02000001,2020-07-30,302301,452.6
overview,United Kingdom,K02000001,2020-07-29,301455,451.3
overview,United Kingdom,K02000001,2020-07-28,300692,450.2
overview,United Kingdom,K02000001,2020-07-27,300111,449.3
overview,United Kingdom,K02000001,2020-07-26,299426,448.3
overview,United Kingdom,K02000001,2020-07-25,298681,447.1
overview,United Kingdom,K02000001,2020-07-24,297914,446
overview,United Kingdom,K02000001,2020-07-23,297146,444.9
overview,United Kingdom,K02000001,2020-07-22,296377,443.7
overview,United Kingdom,K02000001,2020-07-21,295817,442.9
overview,United Kingdom,K02000001,2020-07-20,295372,442.2
overview,United Kingdom,K02000001,2020-07-19,294792,441.3
overview,United Kingdom,K02000001,2020-07-18,294066,440.2
overview,United Kingdom,K02000001,2020-07-17,293239,439
overview,United Kingdom,K02000001,2020-07-16,292552,438
overview,United Kingdom,K02000001,2020-07-15,291911,437
overview,United Kingdom,K02000001,2020-07-14,291373,436.2
overview,United Kingdom,K02000001,2020-07-13,290133,434.4
overview,United Kingdom,K02000001,2020-07-12,289603,433.6
overview,United Kingdom,K02000001,2020-07-11,288953,432.6
overview,United Kingdom,K02000001,2020-07-10,288133,431.4
overview,United Kingdom,K02000001,2020-07-09,287621,430.6
overview,United Kingdom,K02000001,2020-07-08,286979,429.6
overview,United Kingdom,K02000001,2020-07-07,286349,428.7
overview,United Kingdom,K02000001,2020-07-06,285768,427.8
overview,United Kingdom,K02000001,2020-07-05,285416,427.3
overview,United Kingdom,K02000001,2020-07-04,284900,426.5
overview,United Kingdom,K02000001,2020-07-03,284276,425.6
overview,United Kingdom,K02000001,2020-07-02,283757,424.8
overview,United Kingdom,K02000001,2020-07-01,313483,469.3
overview,United Kingdom,K02000001,2020-06-30,312654,468.1
overview,United Kingdom,K02000001,2020-06-29,311965,467
overview,United Kingdom,K02000001,2020-06-28,311151,465.8
overview,United Kingdom,K02000001,2020-06-27,310250,464.5
overview,United Kingdom,K02000001,2020-06-26,309360,463.1
overview,United Kingdom,K02000001,2020-06-25,307980,461.1
overview,United Kingdom,K02000001,2020-06-24,306862,459.4
overview,United Kingdom,K02000001,2020-06-23,306210,458.4
overview,United Kingdom,K02000001,2020-06-22,305289,457
overview,United Kingdom,K02000001,2020-06-21,304331,455.6
overview,United Kingdom,K02000001,2020-06-20,303110,453.8
overview,United Kingdom,K02000001,2020-06-19,301815,451.8
overview,United Kingdom,K02000001,2020-06-18,300469,449.8
overview,United Kingdom,K02000001,2020-06-17,299251,448
overview,United Kingdom,K02000001,2020-06-16,298136,446.3
overview,United Kingdom,K02000001,2020-06-15,296857,444.4
overview,United Kingdom,K02000001,2020-06-14,295889,443
overview,United Kingdom,K02000001,2020-06-13,294375,440.7
overview,United Kingdom,K02000001,2020-06-12,292950,438.6
overview,United Kingdom,K02000001,2020-06-11,291409,436.3
overview,United Kingdom,K02000001,2020-06-10,290143,434.4
overview,United Kingdom,K02000001,2020-06-09,289140,432.9
overview,United Kingdom,K02000001,2020-06-08,287399,430.3
overview,United Kingdom,K02000001,2020-06-07,286194,428.5
overview,United Kingdom,K02000001,2020-06-06,284868,426.5
overview,United Kingdom,K02000001,2020-06-05,283311,424.1
overview,United Kingdom,K02000001,2020-06-04,281661,421.7
overview,United Kingdom,K02000001,2020-06-03,279856,419
overview,United Kingdom,K02000001,2020-06-02,277985,416.2
overview,United Kingdom,K02000001,2020-06-01,276332,413.7
