Area code,Area name,Inflow,Outflow,Net
E07000223,Adur,3887,3527,360
E07000026,Allerdale,3428,3020,408
E07000032,Amber Valley,6928,5388,1540
E07000224,Arun,8308,6899,1409
E07000170,Ashfield,6760,6235,525
E07000105,Ashford,6522,6163,359
E07000200,Babergh,5662,4744,918
E09000002,Barking and Dagenham,15149,19066,-3917
E09000003,Barnet,26583,28906,-2323
E08000016,Barnsley,8771,7607,1164
E07000027,Barrow-in-Furness,1691,1860,-169
E07000066,Basildon,9657,9599,58
E07000084,Basingstoke and Deane,9032,8742,290
E07000171,Bassetlaw,5163,4575,588
E06000022,Bath and North East Somerset,16895,16747,148
E06000055,Bedford,9432,8604,828
E09000004,Bexley,14245,14916,-671
E08000025,Birmingham,51981,63541,-11560
E07000129,Blaby,6449,5619,830
E06000008,Blackburn with Darwen,5733,6342,-609
E06000009,Blackpool,7950,7763,187
E07000033,Bolsover,5027,4135,892
E08000001,Bolton,11002,11343,-341
E07000136,Boston,3094,3198,-104
E06000058,"Bournemouth, Christchurch and ",22092,22771,-679
E06000036,Bracknell Forest,7000,7171,-171
E08000032,Bradford,18184,20020,-1836
E07000067,Braintree,8322,7371,951
E07000143,Breckland,7609,6611,998
E09000005,Brent,24533,31882,-7349
E07000068,Brentwood,4994,4787,207
E06000043,Brighton and Hove,22453,24061,-1608
E06000023,"Bristol, City of",36391,37107,-716
E07000144,Broadland,7910,6373,1537
E09000006,Bromley,19250,19884,-634
E07000234,Bromsgrove,6460,5140,1320
E07000095,Broxbourne,5978,6047,-69
E07000172,Broxtowe,8724,8172,552
E07000117,Burnley,3844,4018,-174
E08000002,Bury,8746,9113,-367
E08000033,Calderdale,8872,8258,614
E07000008,Cambridge,16358,18070,-1712
E09000007,Camden,24141,27036,-2895
E07000192,Cannock Chase,4698,4287,411
E07000106,Canterbury,14136,14436,-300
E07000028,Carlisle,4103,3868,235
E07000069,Castle Point,4471,3986,485
E06000056,Central Bedfordshire,17659,14588,3071
E07000130,Charnwood,15749,13881,1868
E07000070,Chelmsford,10759,10091,668
E07000078,Cheltenham,8629,9110,-481
E07000177,Cherwell,9178,8181,997
E06000049,Cheshire East,18034,14703,3331
E06000050,Cheshire West and Chester,17308,15290,2018
E07000034,Chesterfield,4791,4471,320
E07000225,Chichester,8562,8019,543
E07000118,Chorley,6303,5117,1186
E09000001,City of London,1116,971,145
E07000071,Colchester,12739,11931,808
E07000029,Copeland,1889,2028,-139
E07000150,Corby,3514,2802,712
E06000052,Cornwall,25172,19645,5527
E07000079,Cotswold,6818,5808,1010
E06000047,County Durham,22711,20737,1974
E08000026,Coventry,21341,25582,-4241
E07000163,Craven,3388,2962,426
E07000226,Crawley,4953,6078,-1125
E09000008,Croydon,24761,27542,-2781
E07000096,Dacorum,8445,8677,-232
E06000005,Darlington,4562,4321,241
E07000107,Dartford,8985,7003,1982
E07000151,Daventry,6124,4921,1203
E06000015,Derby,13148,14814,-1666
E07000035,Derbyshire Dales,4167,3589,578
E08000017,Doncaster,10403,9827,576
E06000059,Dorset,19848,16738,3110
E07000108,Dover,5727,4455,1272
E08000027,Dudley,12169,11845,324
E09000009,Ealing,26665,32257,-5592
E07000009,East Cambridgeshire,4991,4607,384
E07000040,East Devon,9210,6804,2406
E07000085,East Hampshire,8210,6595,1615
E07000242,East Hertfordshire,9572,8566,1006
E07000137,East Lindsey,8575,6956,1619
E07000152,East Northamptonshire,5744,5207,537
E06000011,East Riding of Yorkshire,16340,13906,2434
E07000193,East Staffordshire,5700,5186,514
E07000244,East Suffolk,11498,9564,1934
E07000061,Eastbourne,6482,5863,619
E07000086,Eastleigh,8451,7133,1318
E07000030,Eden,2574,2161,413
E07000207,Elmbridge,8844,9055,-211
E09000010,Enfield,18388,23461,-5073
E07000072,Epping Forest,8386,8561,-175
E07000208,Epsom and Ewell,5977,5756,221
E07000036,Erewash,5769,5807,-38
E07000041,Exeter,14215,13919,296
E07000087,Fareham,6119,6124,-5
E07000010,Fenland,5264,5107,157
E07000112,Folkestone and Hythe,5472,4791,681
E07000080,Forest of Dean,4686,4308,378
E07000119,Fylde,5415,4036,1379
E08000037,Gateshead,8557,9601,-1044
E07000173,Gedling,6853,6812,41
E07000081,Gloucester,7026,7638,-612
E07000088,Gosport,3577,3986,-409
E07000109,Gravesham,5793,5780,13
E07000145,Great Yarmouth,4118,4154,-36
E09000011,Greenwich,22150,24813,-2663
E07000209,Guildford,12313,13692,-1379
E09000012,Hackney,23806,26179,-2373
E06000006,Halton,4541,3935,606
E07000164,Hambleton,5021,4434,587
E09000013,Hammersmith and Fulham,21264,22943,-1679
E07000131,Harborough,5964,4730,1234
E09000014,Haringey,24138,29256,-5118
E07000073,Harlow,4614,4724,-110
E07000165,Harrogate,7962,7396,566
E09000015,Harrow,16911,20369,-3458
E07000089,Hart,6177,5728,449
E06000001,Hartlepool,3059,2958,101
E07000062,Hastings,4470,4836,-366
E07000090,Havant,6598,6202,396
E09000016,Havering,14757,14839,-82
E06000019,"Herefordshire, County of",7490,7026,464
E07000098,Hertsmere,7578,7249,329
E07000037,High Peak,4545,4070,475
E09000017,Hillingdon,20746,23875,-3129
E07000132,Hinckley and Bosworth,6118,5458,660
E07000227,Horsham,8636,7306,1330
E09000018,Hounslow,18491,23365,-4874
E07000011,Huntingdonshire,9263,8929,334
E07000120,Hyndburn,3580,3748,-168
E07000202,Ipswich,6440,7922,-1482
E06000046,Isle of Wight,4967,4134,833
E09000019,Islington,24348,27532,-3184
E09000020,Kensington and Chelsea,12385,13545,-1160
E07000153,Kettering,5372,5295,77
E07000146,King's Lynn and West Norfolk,6651,6391,260
E06000010,"Kingston upon Hull, City of",10814,12470,-1656
E09000021,Kingston upon Thames,14211,14987,-776
E08000034,Kirklees,15620,17161,-1541
E08000011,Knowsley,7604,6830,774
E09000022,Lambeth,38612,40432,-1820
E07000121,Lancaster,9508,9445,63
E08000035,Leeds,46542,47795,-1253
E06000016,Leicester,21211,27498,-6287
E07000063,Lewes,6020,5165,855
E09000023,Lewisham,26730,28714,-1984
E07000194,Lichfield,6425,5318,1107
E07000138,Lincoln,10894,10781,113
E08000012,Liverpool,29458,31610,-2152
E06000032,Luton,8782,13516,-4734
E07000110,Maidstone,9831,8656,1175
E07000074,Maldon,3614,3012,602
E07000235,Malvern Hills,5157,4336,821
E08000003,Manchester,45026,50077,-5051
E07000174,Mansfield,5378,5236,142
E06000035,Medway,12835,13559,-724
