date,areaName,areaCode,newCasesByPublishDate,cumCasesByPublishDate,newDeathsByDeathDate,cumDeathsByDeathDate
2020-09-22,England,E92000001,4187,347842,36,37139
2020-09-21,England,E92000001,3754,343655,9,37103
2020-09-20,England,E92000001,3279,339901,18,37094
2020-09-19,England,E92000001,3638,336622,22,37076
2020-09-18,England,E92000001,3771,332984,23,37054
2020-09-17,England,E92000001,2788,329213,18,37031
2020-09-16,England,E92000001,3396,326425,17,37013
2020-09-15,England,E92000001,2649,323029,25,36996
2020-09-14,England,E92000001,2259,320380,7,36971
2020-09-13,England,E92000001,2837,318121,5,36964
2020-09-12,England,E92000001,3008,315284,9,36959
2020-09-11,England,E92000001,3143,312276,6,36950
2020-09-10,England,E92000001,2578,309133,13,36944
2020-09-09,England,E92000001,2286,306555,8,36931
2020-09-08,England,E92000001,2094,304269,27,36923
2020-09-07,England,E92000001,2528,302175,2,36896
2020-09-06,England,E92000001,2576,299647,2,36894
2020-09-05,England,E92000001,1477,297071,11,36892
2020-09-04,England,E92000001,1669,295594,9,36881
2020-09-03,England,E92000001,1507,293925,11,36872
2020-09-02,England,E92000001,1239,292418,7,36861
2020-09-01,England,E92000001,1041,291179,2,36854
2020-08-31,England,E92000001,1149,290138,2,36852
2020-08-30,England,E92000001,1487,288989,1,36850
2020-08-29,England,E92000001,891,287502,12,36849
2020-08-28,England,E92000001,1106,286611,9,36837
2020-08-27,England,E92000001,1350,285505,10,36828
2020-08-26,England,E92000001,875,284155,13,36818
2020-08-25,England,E92000001,1065,283280,16,36805
2020-08-24,England,E92000001,758,282215,3,36789
2020-08-23,England,E92000001,938,281457,4,36786
2020-08-22,England,E92000001,1060,280519,17,36782
2020-08-21,England,E92000001,908,279459,2,36765
2020-08-20,England,E92000001,1035,278551,6,36763
2020-08-19,England,E92000001,707,277516,15,36757
2020-08-18,England,E92000001,975,276809,11,36742
2020-08-17,England,E92000001,634,275834,3,36731
2020-08-16,England,E92000001,952,275200,3,36728
2020-08-15,England,E92000001,934,274248,2,36725
2020-08-14,England,E92000001,1284,273314,10,36723
2020-08-13,England,E92000001,1059,272030,18,36713
2020-08-12,England,E92000001,925,270971,15,36695
2020-08-11,England,E92000001,1035,270046,11,36680
2020-08-10,England,E92000001,699,269011,17,36669
2020-08-09,England,E92000001,988,268312,5,36652
2020-08-08,England,E92000001,679,267324,2,36647
2020-08-07,England,E92000001,796,266645,5,36645
2020-08-06,England,E92000001,826,265849,15,36640
2020-08-05,England,E92000001,804,265023,12,36625
2020-08-04,England,E92000001,617,264219,17,36613
2020-08-03,England,E92000001,856,263602,1,36596
2020-08-02,England,E92000001,676,262746,2,36595
2020-08-01,England,E92000001,722,262070,11,36593
2020-07-31,England,E92000001,814,261348,14,36582
2020-07-30,England,E92000001,812,260534,0,36568
2020-07-29,England,E92000001,700,259722,29,36568
2020-07-28,England,E92000001,547,259022,21,36539
2020-07-27,England,E92000001,616,258475,3,36518
2020-07-26,England,E92000001,721,257859,7,36515
2020-07-25,England,E92000001,710,257138,15,36508
2020-07-24,England,E92000001,688,256428,32,36493
2020-07-23,England,E92000001,702,255740,9,36461
2020-07-22,England,E92000001,519,255038,16,36452
2020-07-21,England,E92000001,399,254519,25,36436
2020-07-20,England,E92000001,535,254120,10,36411
2020-07-19,England,E92000001,672,253585,10,36401
2020-07-18,England,E92000001,796,252913,9,36391
2020-07-17,England,E92000001,635,252117,25,36382
2020-07-16,England,E92000001,597,251482,23,36357
2020-07-15,England,E92000001,506,250885,24,36334
2020-07-14,England,E92000001,372,250379,42,36310
2020-07-13,England,E92000001,497,250007,8,36268
2020-07-12,England,E92000001,615,249510,9,36260
2020-07-11,England,E92000001,806,248895,16,36251
2020-07-10,England,E92000001,480,248089,34,36235
2020-07-09,England,E92000001,617,247609,29,36201
2020-07-08,England,E92000001,606,246992,52,36172
2020-07-07,England,E92000001,572,246386,50,36120
2020-07-06,England,E92000001,331,245814,11,36070
2020-07-05,England,E92000001,492,245483,18,36059
2020-07-04,England,E92000001,579,244991,27,36041
2020-07-03,England,E92000001,502,244412,45,36014
2020-07-02,England,E92000001,523,243910,31,35969
2020-07-01,England,E92000001,177,160764,90,35938
2020-06-30,England,E92000001,196,160587,47,35848
2020-06-29,England,E92000001,99,160391,17,35801
2020-06-28,England,E92000001,142,160292,28,35784
