Area name,Asian,Black,Mixed,Other,White,Grand Total
Adur,1.73,0.51,1.45,0.43,95.88,100
Allerdale,0.49,0.08,0.44,0.06,98.92,99.99
Amber Valley,0.76,0.21,0.8,0.1,98.13,100
Arun,1.42,0.36,1,0.16,97.06,100
Ashfield,0.92,0.39,0.89,0.11,97.69,100
Ashford,3.38,1.17,1.43,0.33,93.7,100.01
Babergh,0.76,0.3,0.94,0.16,97.84,100
Barking and Dagenham,15.92,19.98,4.24,1.57,58.3,100.01
Barnet,18.5,7.7,4.82,4.86,64.13,100.01
Barnsley,0.72,0.53,0.7,0.18,97.87,100
Barrow-in-Furness,0.92,0.1,0.52,0.12,98.34,100
Basildon,2.73,2.68,1.65,0.28,92.65,99.99
Basingstoke and Deane,4,1.14,1.68,0.28,92.9,100
Bassetlaw,1.11,0.46,0.88,0.18,97.37,100
Bath and North East Somerset,2.6,0.75,1.65,0.42,94.58,100
Bedford,11.39,3.94,3.42,0.71,80.55,100.01
Bexley,6.57,8.46,2.33,0.76,81.88,100
Birmingham,26.62,8.98,4.44,2.03,57.93,100
Blaby,6.09,0.96,1.6,0.36,90.99,100
Blackburn with Darwen,28.13,0.63,1.24,0.83,69.16,99.99
Blackpool,1.61,0.24,1.23,0.24,96.67,99.99
Bolsover,0.81,0.35,0.68,0.02,98.14,100
Bolton,14,1.68,1.77,0.67,81.88,100
Boston,1.44,0.43,1.03,0.27,96.84,100.01
Bournemouth,3.85,0.96,2.28,0.91,91.99,99.99
Bracknell Forest,5,1.93,2.03,0.44,90.59,99.99
Bradford,26.83,1.77,2.48,1.48,67.44,100
Braintree,1.36,0.62,1.25,0.17,96.6,100
Breckland,0.8,0.46,1.2,0.14,97.41,100.01
Brent,34.06,18.84,5.07,5.77,36.27,100.01
Brentwood,3.19,1.22,1.62,0.4,93.57,100
Brighton and Hove,4.13,1.53,3.81,1.46,89.08,100.01
"Bristol, City of",5.52,6.01,3.61,0.89,83.97,100
Broadland,1.01,0.27,0.85,0.15,97.71,99.99
Bromley,5.19,6.04,3.52,0.93,84.32,100
Bromsgrove,2.06,0.47,1.49,0.19,95.79,100
Broxbourne,2.34,4.23,2.29,0.85,90.3,100.01
Broxtowe,4.11,0.85,1.67,0.63,92.74,100
Burnley,11,0.24,1.12,0.28,87.36,100
Bury,7.24,1.02,1.82,0.74,89.18,100
Calderdale,8.28,0.44,1.37,0.23,89.68,100
Cambridge,10.99,1.69,3.18,1.62,82.51,99.99
Camden,16.09,8.2,5.59,3.84,66.29,100.01
Cannock Chase,1.01,0.29,0.89,0.08,97.74,100.01
Canterbury,3.4,1.28,1.69,0.6,93.04,100.01
Carlisle,1.16,0.14,0.5,0.11,98.1,100.01
Castle Point,1.15,0.75,1.04,0.17,96.89,100
Central Bedfordshire,2.52,1.42,1.88,0.34,93.84,100
Charnwood,9.72,0.8,1.55,0.57,87.37,100.01
Chelmsford,2.95,1.22,1.57,0.4,93.86,100
Cheltenham,3.18,0.62,1.62,0.32,94.26,100
Cherwell,4.26,1.38,1.8,0.39,92.17,100
Cheshire East,1.64,0.38,1.05,0.23,96.71,100.01
Cheshire West and Chester,1.24,0.28,0.93,0.16,97.4,100.01
Chesterfield,1.53,0.75,1.05,0.14,96.52,99.99
Chichester,1.42,0.46,0.96,0.22,96.95,100.01
Chorley,1.6,0.37,0.95,0.18,96.9,100
City of London,12.75,2.62,3.92,2.09,78.63,100.01
Colchester,3.67,1.49,1.82,0.97,92.05,100
Copeland,0.89,0.12,0.48,0.08,98.42,99.99
Corby,1.28,1.65,1.36,0.18,95.53,100
Cornwall,0.65,0.14,0.83,0.16,98.23,100.01
Cotswold,0.96,0.28,0.84,0.1,97.82,100
County Durham,0.95,0.14,0.6,0.16,98.15,100
Coventry,16.28,5.6,2.6,1.68,73.84,100
Craven,1.75,0.11,0.68,0.07,97.39,100
Crawley,12.97,3.25,2.91,0.96,79.91,100
Croydon,16.41,20.16,6.58,1.76,55.09,100
Dacorum,4.67,2.06,2.12,0.33,90.81,99.99
Darlington,2.09,0.34,1.09,0.25,96.24,100.01
Dartford,5.96,3.67,2.22,0.78,87.37,100
Daventry,1.52,0.62,1.25,0.11,96.51,100.01
Derby,12.5,2.94,2.91,1.35,80.3,100
Derbyshire Dales,0.56,0.12,0.66,0.07,98.6,100.01
Doncaster,2.52,0.77,1.1,0.35,95.26,100
Dorset,0,0,0,0,0,0
Dover,1.82,0.35,0.92,0.23,96.68,100
Dudley,6.05,1.49,1.84,0.62,89.99,99.99
Ealing,29.68,10.89,4.45,5.99,48.99,100
East Cambridgeshire,1.45,0.6,1.41,0.29,96.25,100
East Devon,0.7,0.11,0.68,0.1,98.41,100
East Dorset,0.85,0.12,0.68,0.1,98.26,100.01
East Hampshire,1.61,0.45,1.13,0.25,96.56,100
East Hertfordshire,1.95,0.71,1.61,0.26,95.47,100
East Lindsey,0.58,0.19,0.69,0.07,98.47,100
East Northamptonshire,1.26,0.73,1.21,0.17,96.63,100
East Riding of Yorkshire,0.89,0.18,0.69,0.16,98.09,100.01
East Staffordshire,6.92,0.9,1.43,0.33,90.42,100
Eastbourne,2.81,0.79,1.8,0.54,94.06,100
Eastleigh,2.99,0.48,1.39,0.46,94.68,100
Eden,0.56,0.04,0.4,0.08,98.93,100.01
Elmbridge,5.41,0.77,2.61,0.96,90.26,100.01
Enfield,11.17,17.18,5.5,5.14,61.01,100
Epping Forest,4.75,1.93,2.12,0.65,90.54,99.99
Epsom and Ewell,8.63,1.5,2.56,1.42,85.89,100
Erewash,1.23,0.48,1.13,0.11,97.04,99.99
Exeter,3.9,0.57,1.65,0.83,93.05,100
Fareham,1.49,0.32,1.22,0.21,96.75,99.99
Fenland,1.13,0.52,0.95,0.17,97.24,100.01
Folkestone and Hythe,3.43,0.42,1.17,0.31,94.67,100
Forest of Dean,0.58,0.24,0.64,0.08,98.46,100
Fylde,1.12,0.22,0.98,0.22,97.47,100.01
Gateshead,1.87,0.54,0.78,0.55,96.27,100.01
Gedling,2.94,1.46,2.31,0.24,93.05,100
Gloucester,4.8,2.86,2.93,0.28,89.13,100
Gosport,1.3,0.72,1.29,0.25,96.45,100.01
Gravesham,10.42,2.84,2.03,1.91,82.8,100
Great Yarmouth,1.24,0.45,1.19,0.27,96.85,100
Greenwich,11.74,19.11,4.82,1.86,62.46,99.99
Guildford,4.82,1.21,1.82,1.24,90.91,100
Hackney,10.5,23.09,6.44,5.3,54.66,99.99
Halton,0.75,0.21,1.08,0.12,97.85,100.01
Hambleton,0.67,0.21,0.67,0.14,98.31,100
Hammersmith and Fulham,9.12,11.78,5.5,5.53,68.07,100
Harborough,3,0.38,1.14,0.24,95.24,100
Haringey,9.47,18.76,6.49,4.73,60.54,99.99
Harlow,4.56,3.77,2.14,0.45,89.08,100
Harrogate,1.53,0.73,1.12,0.29,96.33,100
Harrow,42.59,8.24,3.97,2.95,42.25,100
Hart,2.69,0.56,1.6,0.29,94.86,100
Hartlepool,1.42,0.18,0.6,0.11,97.69,100
Hastings,2.36,1.18,2.16,0.54,93.77,100.01
Havant,1.18,0.32,1.25,0.16,97.08,99.99
Havering,4.87,4.84,2.08,0.56,87.66,100.01
"Herefordshire, County of",0.78,0.18,0.69,0.15,98.2,100
Hertsmere,7.39,3.93,2.62,1.03,85.04,100.01
High Peak,0.78,0.2,1.04,0.11,97.87,100
Hillingdon,25.28,7.33,3.83,2.95,60.61,100
Hinckley and Bosworth,2.14,0.25,0.98,0.17,96.47,100.01
Horsham,1.97,0.5,1.35,0.17,96.01,100
Hounslow,34.36,6.62,4.08,3.56,51.39,100.01
Huntingdonshire,2.47,0.97,1.49,0.27,94.8,100
Hyndburn,11.16,0.13,0.86,0.18,87.67,100
Ipswich,4.3,2.32,3.61,0.85,88.91,99.99
Isle of Wight,1.09,0.22,1.24,0.14,97.31,100
Islington,9.23,12.76,6.47,3.37,68.17,100
Kensington and Chelsea,10,6.51,5.66,7.22,70.61,100
Kettering,3.23,1.06,1.4,0.44,93.86,99.99
King's Lynn and West Norfolk,1.26,0.38,0.93,0.17,97.26,100
"Kingston upon Hull, City of",2.52,1.17,1.35,0.84,94.12,100
Kingston upon Thames,16.34,2.51,3.92,2.75,74.48,100
Kirklees,16.04,1.87,2.32,0.64,79.13,100
Knowsley,0.96,0.35,1.31,0.15,97.23,100
Lambeth,6.91,25.91,7.64,2.45,57.09,100
Lancaster,2.7,0.45,0.98,0.23,95.64,100
Leeds,7.75,3.45,2.61,1.1,85.1,100.01
Leicester,37.13,6.24,3.51,2.6,50.52,100
Lewes,1.44,0.43,1.31,0.26,96.57,100.01
Lewisham,9.26,27.16,7.42,2.63,53.53,100
Lichfield,1.61,0.48,1.03,0.12,96.77,100.01
Lincoln,1.92,0.83,1.31,0.38,95.55,99.99
Liverpool,4.16,2.64,2.52,1.77,88.91,100
Luton,30,9.8,4.08,1.47,54.66,100.01
Maidstone,3.19,0.89,1.51,0.31,94.1,100
Maldon,0.79,0.24,0.82,0.1,98.05,100
Malvern Hills,1.21,0.2,0.86,0.13,97.6,100
Manchester,17.09,8.64,4.6,3.06,66.61,100
Mansfield,1.23,0.38,1.06,0.14,97.18,99.99
Medway,5.16,2.52,1.96,0.72,89.64,100
Melton,1.03,0.19,0.82,0.06,97.9,100
Mendip,0.85,0.19,0.91,0.08,97.97,100
Merton,18.1,10.42,4.67,1.9,64.9,99.99
